,Unnamed: 0,date,text,GPE,gpe,country,score
37712,37712,2018-09-17 09:45:45,RT @USCG: We know how much you love your pets and want to keep them safe from flooding.,[],,,
26492,26492,2016-09-08 04:02:15,Thank you to our fantastic veterans.,[],,,
54939,54939,2019-12-30 22:23:36,RT @BreitbartNews: This Christmas let the impeach-a-maniacs in your life know we're lauging AT them not with them.,[],,,
19992,19992,2015-10-09 16:26:54,https://t.co/ddfPtVYpXv,[],,,
46843,46843,2019-08-07 10:32:14,I don’t think so!” Mark Penn Former Clinton Advisor.,[],,,
6608,6608,2013-01-24 18:46:17,@euan888 @David_Cameron @AlexSalmond So true!,[],,,
715,715,2011-09-23 17:56:24,#Solyndra,[],,,
53056,53056,2019-12-02 17:15:33,https://t.co/LVVCUJz5CW,[],,,
1813,1813,2012-02-24 13:49:32,Debbie Wasserman Schultz is hard to watch or listen to--no wonder our country is going to hell!,[],,,
16428,16428,2014-12-09 01:53:59,Other than that she is just wonderful!,[],,,
4131,4131,2012-10-04 18:20:23,@LuLuCornbread @celebapprentice  Most likely in February.,[],,,
29523,29523,2017-06-12 16:58:25,We will NEVER FORGET the victims who lost their lives one year ago today in the horrific #PulseNightClub shooting.… https://t.co/7lZGgDJkxZ,[],,,
26562,26562,2016-09-13 13:14:02,#MakeAmericaGreatAgainTickets: https://t.co/TEY6BbCyxt https://t.co/QyR2MDYYbZ,[],,,
46328,46328,2019-07-24 18:23:53,RT @RepDougCollins: Another Democrat theory shot down and the truth we’ve known for months reaffirmed: https://t.co/vFvNn8MvbL,[],,,
33537,33537,2018-03-15 23:10:56,Thank you for your courage.,[],,,
28813,28813,2017-03-07 12:13:59,Our wonderful new Healthcare Bill is now out for review and negotiation.,[],,,
21827,21827,2016-01-06 21:09:42,I will be on @wolfblitzer for a @CNNSitRoom interview today.,[],,,
43651,43651,2019-05-11 13:55:14,Such an easy way to avoid Tariffs?,[],,,
20266,20266,2015-10-24 19:41:08,#TrumpToday,[],,,
42466,42466,2019-04-07 22:02:04,I have confidence that Kevin will do a great job!,[],,,
6858,6858,2013-02-04 20:58:39,@jchorvath11 Thank you.,[],,,
15038,15038,2014-08-02 01:32:08,So many lives and two trillion dollars wasted and our worst enemies will get the 2nd largest oil reserves in the World.,[],,,
52405,52405,2019-11-16 18:39:17,He will be a great governor!,[],,,
16401,16401,2014-12-03 21:10:55,“You can’t wear a blindfold in business.,[],,,
16158,16158,2014-11-10 19:58:20,Each and every new event space at @TrumpDoral looks stunning.,[],,,
35755,35755,2018-07-03 21:26:01,He works hard does a great job and raises lots of money for charities!,[],,,
1524,1524,2012-01-27 19:55:01,Another electric car firm that @BarackObama gave $118M just went bankrupt.,[],,,
55689,55689,2020-01-15 03:56:27,RT @JesseMeester: The debate showed one thing obvious: The Democrats only hope to beat @realDonaldTrump is to impeach him.A chasm is grow…,[],,,
42735,42735,2019-04-18 23:28:23,He was told about it and did nothing!,[],,,
