,Unnamed: 0,date,text,GPE,gpe,country,score
293,293,2017/12/25_08:05,On behalf of the Obama family Merry Christmas!,[],,,
5938,5938,2014/06/04_11:25,Here's one important way to get involved with @OFA: http://ofa.bo/rlWÂ,[],,,
7522,7522,2014/01/30_09:41,I want to work with them but I can't wait for them.,[],,,
9667,9667,2013/07/30_11:15,â€”President Obama,[],,,
8449,8449,2013/11/10_07:49,This cancer survivor supports #Obamacare because it helps people with pre-existing conditions #GetCovered.http://OFA.BO/LwLzn6Â,[],,,
7799,7799,2014/01/14_15:50,http://ofa.bo/rnÂ,[],,,
5223,5223,2014/08/20_09:52,Happening now: President Obama delivers a statement.,[],,,
9890,9890,2013/07/17_08:10,â€”President Obama,[],,,
4864,4864,2014/10/09_12:13,Check this out: More than 500000 people have signed the #RaiseTheWage petition.http://ofa.bo/b1D8Â,[],,,
7961,7961,2013/12/29_10:31,2013 was a great year for LGBT rightsâ€”but there is still work to do.,[],,,
201,201,2018/09/11_06:52,We will always remember everyone we lost on 9/11 thank the first responders who keep us safe and honor all who defend our country and the ideals that bind us together.,[],,,
2258,2258,2015/11/04_14:10,More than two dozen states and cities are fighting to #ActOnClimate by defending the Clean Power Plan:http://ofa.bo/p9abÂ,[],,,
11788,11788,2012/12/10_11:40,â€”President Obama,[],,,
6892,6892,2014/03/10_17:08,These senators are demanding action.,[],,,
3780,3780,2015/03/10_11:18,â€”President Obama,[],,,
3396,3396,2015/05/08_09:56,I view smart trade agreements as a part of middle-class economics.,[],,,
9198,9198,2013/09/04_13:18,"Shanah Tova.""",[],,,
7789,7789,2014/01/15_10:26,Our businesses have now created more than 8 million new jobs.â€”President Obama,[],,,
2060,2060,2015/12/15_14:17,Thanks to American leadership countries around the world are standing #UnitedOnClimate.,[],,,
5482,5482,2014/07/15_11:59,Climate change deniers are at it again: http://ofa.bo/c0EkÂ  #ActOnClimate,[],,,
2095,2095,2015/12/09_09:03,http://ofa.bo/s9XXÂ,[],,,
5168,5168,2014/08/28_14:55,http://ofa.bo/t0n6Â,[],,,
1374,1374,2016/04/12_15:13,#EqualPayDaypic.twitter.com/VpcBDOHABW,[],,,
4775,4775,2014/10/25_12:37,Volunteers across the country have helped millions get covered.,[],,,
8733,8733,2013/10/20_08:53,Americans want Congress to solve real problems: http://OFA.BO/qGhAfNÂ  #TimeForRealWork,[],,,
5245,5245,2014/08/13_11:54,Check it out: Last week @OFA volunteers celebrated the success of health care reform.,[],,,
11121,11121,2013/02/26_10:44,"Obama: ""We wonâ€™t grow the middle class simply by shifting the cost of health care or college onto families that are already struggling.""",[],,,
11187,11187,2013/02/21_08:40,Share why you support the President's plan to make it happen: http://OFA.BO/VrDdqYÂ  #WeDemandAVote,[],,,
8910,8910,2013/10/04_10:14,The #TeaPartyShutdown continues today and Americans are paying the price.,[],,,
5499,5499,2014/07/15_08:56,As the father of a daughter who just turned 16 any new technology that makes driving safer is important to me.,[],,,
9823,9823,2013/07/22_11:49,In 2013 @OFA volunteers have held more than 6500 local events putting pressure on lawmakers to fight for progress:http://OFA.BO/AdRVheÂ,[],,,
11576,11576,2013/01/21_05:32,Happy Inauguration Day!,[],,,
4225,4225,2015/01/07_13:38,Don't let anybody tell you otherwise.,[],,,
2565,2565,2015/08/28_11:59,http://ofa.bo/p9KcÂ,[],,,
3650,3650,2015/03/27_10:46,â€”President Obama,[],,,
5176,5176,2014/08/27_15:29,It's time to #RaiseTheWage: http://ofa.bo/f0nhÂ  Make sure your name is on the petition.,[],,,
11819,11819,2012/12/06_11:52,Here's why:http://OFA.BO/mfs4QNÂ,[],,,
